Name,SMILES,InChI,InChIKey,Source,FooDB ID,DNMT1,DNMT3a,DNMT3b,HAT/Ep300,HAT2B/Ep300,HAT3B/p300,EZH2,PRMT1,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11,SIRT1,SIRT2,SIRT3,SIRT4,SIRT5,SIRT6,SIRT7,LSD1,KDM1A,KDM1B,KDM2A,KDM2B,KDM3A,KDM3B,KDM4A,KDM4B,KDM4C,KDM4D,KDM5A,KDM5B,KDM5C,KDM5D,KDM6A,KDM6B,KDM7A,KDM8,BET/BRD4,Unknown epigenetic target DNMT,Unknown epigenetic target HAT,Unknown epigenetic target HDAC,Unknown epigenetic target,Total Targets,COCONUT ID,DOI
Aristoyagonine,CN1C2=CC3=C(C(=C(C=C3)OC)OC)OC4=C(C=CC(=C24)C1=O)OC,"InChI=1S/C19H17NO5/c1-20-12-9-10-5-7-14(23-3)18(24-4)16(10)25-17-13(22-2)8-6-11(15(12)17)19(20)21/h5-9H,1-4H3",PKYPYBIJEGBNLX-UHFFFAOYSA-N,Not commonly found in dietary sources,Not in database,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CNP0343319,10.15430/JCP.2020.25.4.189
Arsenic trioxide,O=[As]O[As]=O,InChI=1S/2As.3O/q2*+3;3*-2,QTLQKAJBUDWPIB-UHFFFAOYSA-N,"Abalone, abiyuch, acerola, acorn, adzuki bean, agar, agave, alaskan blueberry, alaskan wild rhubarb, and alfalfa",FDB028324,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Not in database,10.1007/s11356-021-15594-8
Ascorbate,OC[C@H](O)[C@H]1OC(=O)[C-](O)C1=O,"InChI=1S/C6H7O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8,10H,1H2/q-1/t2-,5+/m0/s1",RUZSIBWKLPULMN-JLAZNSOCSA-N,"Citrus fruits, strawberries, kiwi, bell peppers, leafy greens",FDB001226,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6,Not in database,10.1016/j.hemonc.2020.11.002
Ascorbic acid,OCC(O)C1OC(=C(O)C1=O)O,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,"Citrus fruits, strawberries, kiwi, bell peppers, leafy greens, broccoli, nanking cherry, cow's milk and lettuce",FDB001223,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,CNP0367758,"10.1007/s11356-021-15594-8,10.3389/fcell.2022.930205,10.32607/actanaturae.11060,10.5604/01.3001.0013.6926,10.3390/nu14102150,10.1186/s13148-019-0659-4,10.1016/j.phrs.2019.104321"
Asiatic Acid,C[C@@H]1CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2[C@H]1C)C(O)=O,"InChI=1S/C30H48O5/c1-17-9-12-30(25(34)35)14-13-28(5)19(23(30)18(17)2)7-8-22-26(3)15-20(32)24(33)27(4,16-31)21(26)10-11-29(22,28)6/h7,17-18,20-24,31-33H,8-16H2,1-6H3,(H,34,35)/t17-,18+,20-,21-,22-,23+,24+,26+,27+,28-,29-,30+/m1/s1",JXSVIVRDWWRQRT-UYDOISQJSA-N,Centella asiatica (Gotu Kola),FDB014909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,CNP0380608,10.2174/1568026622666220119111538
Astaxanthin,CC(=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C1=C(C)C(=O)[C@@H](O)CC1(C)C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)[C@@H](O)CC2(C)C,"InChI=1S/C40H52O4/c1-27(17-13-19-29(3)21-23-33-31(5)37(43)35(41)25-39(33,7)8)15-11-12-16-28(2)18-14-20-30(4)22-24-34-32(6)38(44)36(42)26-40(34,9)10/h11-24,35-36,41-42H,25-26H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,27-15+,28-16+,29-19+,30-20+/t35-,36-/m0/s1",MQZIGYBFDRPAKN-UWFIBFSHSA-N,"Certain seafood (salmon, shrimp, lobster, trout)",FDB018640,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0190579,"10.1007/s11356-021-15594-8,10.3390/plants11192524,10.1016/j.ijdevneu.2018.09.001"
Auxin,[O-]C(=O)Cc1c[nH]c2ccccc12,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)/p-1",SEOVTRFCIGRIMH-UHFFFAOYSA-M,Plant hormone; not obtained from diet,FDB003573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Not in database,"10.1111/jipb.13225,10.3390/cells10050979"
Berberine,COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC,"InChI=1S/C20H18NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,7-10H,5-6,11H2,1-2H3/q+1",YBHILYKTIRIUTE-UHFFFAOYSA-N,"Plants like goldenseal, Oregon grape, barberry",FDB023165,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,CNP0108877,"10.3390/nu13113714,10.1002/ptr.7069,10.3389/fphar.2019.00009,10.1016/j.taap.2021.115467"
Beta-carotene,CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)CCCC2(C)C)C(C)(C)CCC1,"InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-22,25-28H,15-16,23-24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+",OENHQHLEOONYIE-JLTXGRSLSA-N,"Butternut squash, purple laver, dandelion, chinese chives, water spinach, sweet marjoram, thyme, arugula salad, cantaloupe, and watercress",FDB014613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CNP0233748,10.1007/s11356-021-15594-8
Beta-elemene,CC(=C)[C@@H]1CC[C@@](C)(C=C)[C@@H](C1)C(C)=C,"InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,13-14H,1-2,4,8-10H2,3,5-6H3/t13-,14+,15-/m1/s1",OPFTUNCRGUEPRZ-QLFBSQMISA-N,Certain medicinal plants like turmeric and ginger,FDB014577,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Not in database,10.3390/nu13113714
